,MPEG-Dash,virtualsplitter,MSoS,SyncDelivery,LowLatencyLiveStreaming,DocStreaming,FastDashBootstrap
metx,0,0,0,0,0,0.00487696779212,0
multiscreen,0,0.00961814179267,0.00767479669672,0,0,0,0
medium,0.00256011484386,0,0,0.00140447564481,0.0026349545258,0.00231904423736,0.00135902619975
form,0,0,0.00458508517685,0,0,0,0
endtoend,0,0,0,0,0,0.00487696779212,0
encoder,0.0054467955152,0,0,0,0.00426545103335,0,0
delivery,0.00368390374081,0,0,0.00303147713913,0.00230792743721,0,0
link,0,0.00466869037681,0,0,0,0,0
encoded,0,0,0,0,0.00861315353685,0,0
fragmentation,0,0,0,0,0.00662550272065,0,0
made,0,0.00466869037681,0,0,0,0,0
inside,0,0,0,0.00373513109271,0,0.00392469601659,0
us,0.00846047890894,0,0,0,0,0,0
demonstrate,0.0063453591817,0,0,0,0,0,0
similar,0,0,0,0,0.00397530163239,0,0
USA,0,0,0,0.00464140763042,0,0,0
m,0,0,0,0,0.00596295244859,0,0
moved,0,0.00373495230145,0,0,0,0,0
al,0,0,0,0.0127638709837,0,0,0
nhntsample,0,0,0,0,0,0.00731545168818,0
sibling,0,0,0.00733613628296,0,0,0,0
single,0,0,0,0,0,0,0.00392980844643
file,0,0,0,0,0.00259641836687,0.00955599090662,0.00513341012688
compared,0,0,0.00199646055699,0,0.00230792743721,0,0.00313708396643
mp4box,0,0,0,0,0,0.0170693872724,0
hybrid,0.013616988788,0,0.00354221386002,0,0,0,0
virtual,0,0.00406572869668,0.00159716844559,0.00202098475942,0,0,0
application,0,0.0374047040094,0.0127773475647,0.00555770808841,0,0,0
setting,0.0063453591817,0,0,0,0,0,0
role,0,0.00466869037681,0,0,0,0,0
node,0,0.00240453544817,0.0224340211135,0,0,0,0
broadcastbroadband,0.0105755986362,0,0,0,0,0,0
shown,0,0,0,0.00298810487417,0,0,0.00252998243385
track,0,0,0,0.0209167341192,0,0.0086343312365,0
additionally,0,0,0,0,0.00397530163239,0,0
AV,0,0,0,0.00971134084105,0,0.00627951362654,0
proceeding,0,0,0,0.00580175953803,0,0,0
’secondary,0,0.00466869037681,0,0,0,0,0
requires,0.0040850966364,0.00360680317225,0,0,0,0,0
required,0,0,0,0,0,0,0.00654968074404
youtube,0,0,0.0091701703537,0,0,0,0
persistent,0,0,0,0,0,0,0.0111344572649
ments,0,0,0,0,0,0.00609620974015,0
time,0.00243311212146,0,0,0,0.00647835777658,0.00280509166885,0.00376718807092
push,0,0,0,0,0,0,0.0144092976369
resolution,0,0,0,0,0.00795060326478,0,0
