,MPEG-Dash,virtualsplitter,MSoS,SyncDelivery,LowLatencyLiveStreaming,DocStreaming,FastDashBootstrap
device’,0,0.00383877159309,0,0,0,0,0
IDR,0,0,0,0,0.00340483486551,0,0
ACM,0.00326086956522,0,0.00235626767201,0.00357781753131,0,0,0
rendering,0,0,0,0.00596302921884,0,0,0
additional,0.00326086956522,0,0,0,0.00204290091931,0,0
area,0,0,0.00235626767201,0,0,0,0
transfer,0,0,0,0,0,0,0.00201952204645
bitrates,0,0,0,0,0.00238338440586,0,0
sequence,0,0,0,0,0.00919305413687,0,0.0040390440929
NY,0,0,0,0.00238521168754,0,0,0
low,0.0130434782609,0,0,0,0.0102145045965,0,0
way,0,0,0,0,0,0.00187969924812,0
var,0,0,0,0,0,0.00250626566416,0
’device2’,0,0.00191938579655,0,0,0,0,0
eg,0,0.00431861804223,0.00424128180961,0.00536672629696,0.00272386789241,0,0
function,0,0.00287907869482,0.014137606032,0,0,0,0
medium,0.00760869565217,0,0,0.00417412045319,0.00783112019067,0.00689223057644,0.0040390440929
form,0,0,0.00235626767201,0,0,0,0
J,0,0,0,0.00417412045319,0,0,0
encoder,0.00434782608696,0,0,0,0.00340483486551,0,0
delivery,0.00434782608696,0,0,0.00357781753131,0.00272386789241,0,0
link,0,0.00239923224568,0,0,0,0,0
encoded,0,0,0,0,0.00442628532516,0,0
GDR,0,0,0,0,0.00885257065032,0,0
made,0,0.00239923224568,0,0,0,0,0
inside,0,0,0,0.00298151460942,0,0.0031328320802,0
us,0.00434782608696,0,0,0,0,0,0
demonstrate,0.00326086956522,0,0,0,0,0,0
similar,0,0,0,0,0.00204290091931,0,0
USA,0,0,0,0.00238521168754,0,0,0
m,0,0,0,0,0.00306435137896,0,0
moved,0,0.00191938579655,0,0,0,0,0
al,0,0,0,0.00655933214073,0,0,0
nhntsample,0,0,0,0,0,0.00375939849624,0
sibling,0,0,0.00377002827521,0,0,0,0
single,0,0,0,0,0,0,0.00201952204645
file,0,0,0,0,0.00306435137896,0.0112781954887,0.00605856613935
feuvre,0.00326086956522,0,0,0,0,0,0
mp4box,0,0,0,0,0,0.00877192982456,0
hybrid,0.0108695652174,0,0.00282752120641,0,0,0,0
virtual,0,0.00479846449136,0.00188501413761,0.00238521168754,0,0,0
application,0,0.0441458733205,0.0150801131008,0.00655933214073,0,0,0
valid,0,0,0,0.00178890876565,0,0,0
role,0,0.00239923224568,0,0,0,0,0
node,0,0.00191938579655,0.0179076343073,0,0,0,0
broadcastbroadband,0.0054347826087,0,0,0,0,0,0
shown,0,0,0,0.00238521168754,0,0,0.00201952204645
track,0,0,0,0.0166964818128,0,0.00689223057644,0
additionally,0,0,0,0,0.00204290091931,0,0
AV,0,0,0,0.0077519379845,0,0.00501253132832,0
leaf,0,0,0.00377002827521,0,0,0,0
’secondary,0,0.00239923224568,0,0,0,0,0
resolution,0,0,0,0,0.00408580183861,0,0
required,0,0,0,0,0,0,0.00336587007742
youtube,0,0,0.00471253534402,0,0,0,0
persistent,0,0,0,0,0,0,0.00572197913161
ments,0,0,0,0,0,0.0031328320802,0
time,0.00434782608696,0,0,0,0.0115764385427,0.00501253132832,0.00673174015483
push,0,0,0,0,0,0,0.00740491417031
requires,0.00326086956522,0.00287907869482,0,0,0,0,0
